日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅
2020-09-04,'300354,东华测试,18.8,18.87,17.0,17.2,17.6,1.2,6.8182
2020-09-03,'300354,东华测试,17.6,18.44,17.5,18.01,18.3,-0.7,-3.8251
2020-09-02,'300354,东华测试,18.3,18.95,17.29,17.3,17.0,1.3,7.6471
2020-09-01,'300354,东华测试,17.0,17.54,16.88,17.2,17.15,-0.15,-0.8746
2020-08-31,'300354,东华测试,17.15,17.78,17.0,17.3,17.45,-0.3,-1.7192
2020-08-28,'300354,东华测试,17.45,17.69,16.38,16.68,16.7,0.75,4.491
2020-08-27,'300354,东华测试,16.7,17.2,15.99,16.48,16.4,0.3,1.8293
2020-08-26,'300354,东华测试,16.4,17.98,16.31,17.85,17.64,-1.24,-7.0295
2020-08-25,'300354,东华测试,17.64,18.39,17.34,17.34,17.49,0.15,0.8576
2020-08-24,'300354,东华测试,17.49,17.49,15.68,16.19,16.19,1.3,8.0296
2020-08-21,'300354,东华测试,16.19,16.59,15.87,16.0,15.96,0.23,1.4411
2020-08-20,'300354,东华测试,15.96,16.68,15.78,16.53,16.52,-0.56,-3.3898
2020-08-19,'300354,东华测试,16.52,17.14,16.4,17.14,17.21,-0.69,-4.0093
2020-08-18,'300354,东华测试,17.21,17.73,16.85,17.01,17.1,0.11,0.6433
2020-08-17,'300354,东华测试,17.1,17.8,16.41,16.59,16.7,0.4,2.3952
2020-08-14,'300354,东华测试,16.7,17.16,16.4,17.16,17.01,-0.31,-1.8225
2020-08-13,'300354,东华测试,17.01,17.02,15.45,15.76,15.78,1.23,7.7947
2020-08-12,'300354,东华测试,15.78,16.31,15.18,15.76,16.15,-0.37,-2.291
2020-08-11,'300354,东华测试,16.15,16.98,16.09,16.67,16.74,-0.59,-3.5245
2020-08-10,'300354,东华测试,16.74,18.36,16.44,16.44,16.77,-0.03,-0.1789
2020-08-07,'300354,东华测试,16.77,17.27,15.47,15.76,15.75,1.02,6.4762
2020-08-06,'300354,东华测试,15.75,15.85,14.94,15.0,14.79,0.96,6.4909
2020-08-05,'300354,东华测试,14.79,15.17,14.74,15.02,15.1,-0.31,-2.053
2020-08-04,'300354,东华测试,15.1,15.92,14.9,15.87,15.84,-0.74,-4.6717
2020-08-03,'300354,东华测试,15.84,16.05,14.6,14.75,14.59,1.25,8.5675
2020-07-31,'300354,东华测试,14.59,14.95,14.1,14.13,14.11,0.48,3.4018
2020-07-30,'300354,东华测试,14.11,14.47,14.03,14.27,14.33,-0.22,-1.5352
2020-07-29,'300354,东华测试,14.33,14.41,13.86,13.99,13.94,0.39,2.7977
2020-07-28,'300354,东华测试,13.94,14.28,13.22,13.33,13.17,0.77,5.8466
2020-07-27,'300354,东华测试,13.17,13.62,13.06,13.1,13.2,-0.03,-0.2273
2020-07-24,'300354,东华测试,13.2,14.08,13.19,13.68,13.72,-0.52,-3.7901
2020-07-23,'300354,东华测试,13.72,13.89,13.36,13.89,13.9,-0.18,-1.295
2020-07-22,'300354,东华测试,13.9,14.29,13.5,13.6,13.64,0.26,1.9062
2020-07-21,'300354,东华测试,13.64,13.8,13.5,13.73,13.62,0.02,0.1468
2020-07-20,'300354,东华测试,13.62,13.75,12.97,12.97,12.92,0.7,5.418
2020-07-17,'300354,东华测试,12.92,12.98,12.6,12.86,12.74,0.18,1.4129
2020-07-16,'300354,东华测试,12.74,13.42,12.7,13.2,13.12,-0.38,-2.8963
2020-07-15,'300354,东华测试,13.12,13.94,13.05,13.81,13.81,-0.69,-4.9964
2020-07-14,'300354,东华测试,13.81,14.03,13.39,13.95,13.92,-0.11,-0.7902
